Rename,,Umben.,Renommer,Переим.,重命名,名前の変更,Renomb.,이름 바꾸기,Adlandır,Назва,Renomear,Přejmen.,Zm. nazwę
Rename Puzzle,,Rätsel umbenennen,Renommer l'énigme,Переим. головоломку,重命名谜题,パズルの●名前を変更,Renomb. Rompecabezas,퍼즐 이름 바꾸기,Bulmacayı Yeniden Adlandır,Перейменувати,Renomear Quebra-Cabeças,Přejmenovat puzzle,Zm. nazwę zagadki
Rename Solution,,Lösung umbenennen,Renommer la solution,Переим. решение,重命名解决方案,ソリューションの●名前の変更,Renombrar Solución,풀이 이름 바꾸기,Çözümü Adlandır,Перейменувати,Renomear Solução,Přejmenovat řešení,Zm. nazwę rozwiązania
Repeat Instruction,,Wiederholen-Anweisung,Instruction de répétition,Повторить команду,重复指令,命令の●繰り返し,Instrucción Repetir,반복 명령,Tekrar Talimatı,Команда повтору,Repetir Instrução,Opakovat instrukci,Instrukcja powtarzania
Repeating Products,,Erzeugnisse werden wiederholt,Produits à répétition,Повторение продуктов,重复产品,製品の●繰り返し,Repitiendo Productos,반복되는 생성물,Tekrarlanan Ürünler,Повторювані продукти,Produtos em Cadeia,Opakovat produkty,Powtarzanie produktów
Repeating this pattern to the right would cause atoms to overlap.,,"Wenn dieses Muster nach rechts wiederholt werden würde, würden sich Atome überlagern.",Répéter ce schéma sur la droite ferait se chevaucher les atomes.,При повторении этой последовательности справа атомы будут перекрываться.,重复右边的样式将会导致原子重叠。,このパターンを●右に●繰り返すと●原子が●重なり●合います。,"Si se repite este patrón hacia la derecha, causará que los átomos se superpogan.",이 패턴을 오른쪽으로 반복시키면 원자들이 겹칩니다.,Bu deseni sağa tekrarlamak atomların çakışmasına neden olur.,Повторення цієї послідовності вправо призведе до перекривання атомів.,Repetir este padrão para a direita faria os átomos colidirem.,Kopírování tohoto vzoru doprava by způsobilo kolizi atomů.,Powtórzenie tej sekwencji doprowadziłoby do kolizji atomów.
Replay,,Erneut spielen,Répéter,Повтор,重放,リプレイ,Volver a Reproducir,다시보기,Tekrar Oynat,Повтор,Reiniciar,Opakovat,Powtórz
Reset Instruction,,Zurücksetzen-Anweisung,Instruction de réinitialisation,Команда возврата,重置指令,リセットの●命令,Instrucción Reiniciar,초기화 명령,Sıfırlama Talimatı,Команда повернення,Instrução de Reinício,Instrukce reset,Instrukcja resetu
Resolution,,Auflösung,Résolution,Разрешение,分辨率,解像度,Resolución,해상도,Çözünürlük,Роздільність,Resolução,Rozlišení,Rozdzielczość
Resubmits scores to the leaderboards,,Punkte erneut an Bestenliste übertragen,Ré-envoie les scores aux classements,Повторно отправляет результат,重新提交分数到排行榜,ランキングに●スコアを●再送信,Vuelve a enviar el resultado a la tabla de lideres,리더보드에 성적을 다시 보냅니다.,Puanları puan tablolarına yeniden gönderir,Повторно надіслати результати рішень,Reenvia pontuações para o placar,Znovu zobrazit výsledky,Ponownie wysyła wyniki do statystyk
Retract Instruction,,Einfahren-Anweisung,Instruction de rétraction,Команда втягивания,收回指令,格納の●命令,Instrucción Retraer,줄이기 명령,Geri Çekme Talimatı,Команда втягування,Instrução de Retração,Instrukce stažení,Instrukcja chowania
Retracts the gripper at the end of a piston arm.,,Fährt den Greifer am Ende eines Hydraulikarms ein.,Rétracte la pince au bout du bras à piston.,Втягивает захват на конце выдвижного манипулятора.,收回活塞机械臂末端的夹钳。,ピストンアームの●先端にある●グリッパーを●格納します。,Retrae la pinza del final de un brazo del pistón.,피스톤 팔의 길이를 줄입니다.,Piston kolunun ucundaki kıskacı geri çeker.,Втягує захват на кінці поршня.,Retrai a garra na ponta de um braço-pistão.,Stáhne zpět zachycovač na konci pístového manipulátoru.,Chowa chwytak na końcu ramienia z tłokiem.
Return to Menu,,Zurück zum Menü,Retourner au menu,Назад в меню,返回菜单,メニューに戻る,Volver al Menú,메뉴로 돌아가기,Menüye Dön,Назад до меню,Retornar ao Menu,Zpět do menu,Powrót do menu
Reverify Solutions,,Lösungen verifizieren,Revérifier les solutions,Проверка решений,重新验证解决方案,ソリューションを●再認証,Reverificar Soluciones,답안 재검사,Çözümleri Yeniden Doğrula,Перепровірити рішення,Reverificar Soluções,Prověření řešení,Weryfikacja rozwiązań
Right Mouse + Drag,,Rechte Maustaste + ziehen,Clic droit + déplacer,Правая кнопка мыши + перетаскивание,鼠标右键 + 拖动,右クリック + ドラッグ,Botón Derecho del Ratón + Arrastrar,오른쪽 클릭 + 드래그,Sağ Fare + Sürükle,ПКМ + пересунути,Mouse Direito + Arrastar,Pravá myš + táhnout,Prawy przycisk myszy + Przeciągaj
Rocket Propellant,,Raketentreibstoff,Propergol,Ракетное топливо,火箭推进剂,ロケット●推進剤,Propulsor del Cohete,로켓 추진제,Roket İtici,Ракетне паливо,Propelente de Foguete,Raketové palivo,Paliwo rakietowe
Rotate Instruction,,Drehen-Anweisung,Instruction de rotation,Команда вращения,旋转指令,回転の●命令,Instrucción Girar,회전 명령,Döndürme Talimatı,Команда повороту,Instrução de Rotação,Instrukce rotace,Instrukcja rotacji
Rotate parts (while dragging one or more parts),,Teile drehen (beim Ziehen eines oder mehrerer Teile),Faire pivoter les pièces (en déplaçant une ou plusieurs pièces),Поворот частей (при перетаскивании одной или нескольких частей),旋转部件（在拖动一个或多个部件时）,部品を回転●（一つ以上の●部品を●ドラッグ中に）,Girar partes (mientras arrastras una o más partes),부품 회전하기 (하나 이상의 부품을 선택하고),Parçaları döndür (bir veya daha fazla parçayı sürüklerken),Повернути частини (перетягуючи одну або декілька частин),Rotaciona peças (enquanto se arrasta uma ou mais peças),Otáčí součástkami (při tažení jedné nebo více součástek),Obróć części (podczas ich przeciągania)
"Rotates an arm clockwise 60 degrees, or 1/6 of a complete rotation.",,"Dreht einen Arm im Uhrzeigersinn um 60 Grad, bzw. 1/6 einer kompletten Umdrehung.","Tourne un bras de 60 degrés dans le sens des aiguilles d'une montre, ou 1/6 de sa rotation complète.",Поворачивает манипулятор на 60 градусов (1/6 полного оборота) по часовой стрелке.,把一个机械臂顺时针旋转60度（1/6圈）。,アームを●時計回りに●60度、または●全体の●6分の1●回転させます。,"Gira un brazo en sentido horario 60 grados, o 1/6 de una rotación completa.",팔을 시계 방향으로 60도 (1/6회전) 돌립니다.,Bir kolu saat yönünde 60 derece veya tam rotasyonun 1/6'sı kadar döndürür.,"Повертає маніпулятор за годинниковою стрілкою на 60 градусів, тобто на 1/6 оберту.","Rotaciona um braço em 60 graus, ou 1/6 de uma rotação completa, no sentido horário.",Natočí manipulátor o 60° ve směru hodinových ručiček (o 1/6 kruhu).,Obraca ramię o 60 stopni (1/6 pełnego obrotu) zgodnie z ruchem wskazówek zegara.
"Rotates an arm counter-clockwise 60 degrees, or 1/6 of a complete rotation.",,"Dreht einen Arm gegen den Uhrzeigersinn um 60 Grad, bzw. 1/6 einer kompletten Umdrehung.","Tourne un bras de 60 degrés dans le sens inverse des aiguilles d'une montre, ou 1/6 de sa rotation complète.",Поворачивает манипулятор на 60 градусов (1/6 полного оборота) против часовой стрелки.,把一个机械臂逆时针旋转60度（1/6圈）。,アームを●反時計回りに●60度、または●全体の●6分の1●回転させます。,"Gira un brazo en sentido antihorario 60 grados, o 1/6 de una rotación completa.",팔을 반시계 방향으로 60도 (1/6회전) 돌립니다.,Bir kolu saat yönünün tersine 60 derece veya tam rotasyonun 1/6'sı kadar döndürür.,"Повертає маніпулятор проти годинникової стрілки на 60 градусів, тобто на 1/6 оберту.","Rotaciona um braço em 60 graus, ou 1/6 de uma rotação completa, no sentido anti-horário.",Natočí manipulátor o 60° proti směru hodinových ručiček (o 1/6 kruhu).,Obraca ramię o 60 stopni (1/6 pełnego obrotu) przeciwnie do ruchu wskazówek zegara.
"Rotates the atoms held by an arm clockwise by 60 degrees, or 1/6 of a complete rotation.",,"Dreht die von einem Arm gehaltenen Atome im Uhrzeigersinn um 60 Grad, bzw. 1/6 einer kompletten Umdrehung.","Tourne les atomes tenus par un bras de 60 degrés dans le sens des aiguilles d'une montre, ou 1/6 de sa rotation complète.",Поворачивает удерживаемые манипулятором атомы на 60 градусов (1/6 полного оборота) по часовой стрелке.,把一个机械臂持有的原子顺时针旋转60度（1/6圈）。,アームに●保持された●原子を●時計回りに●60度、または●全体の●6分の1●回転させます。,"Gira los átomos recogidos por un brazo en sentido horario 60 grados, o 1/6 de una rotación completa.",팔이 잡고 있는 원자를 시계 방향으로 60도 (1/6회전) 돌립니다.,Bir kol tarafından tutulan atomları saat yönünde 60 derece veya tam rotasyonun 1/6'sı kadar döndürür.,"Повертає атоми, утримувані маніпулятором, за годинниковою стрілкою на 60 градусів, тобто на 1/6 оберту.","Rotaciona os átomos segurados por um braço em 60 graus, ou 1/6 de uma rotação completa, no sentido horário.","Natočí atom, držený manipulátorem, o 60° ve směru hodinových ručiček (o 1/6 kruhu).",Obraca trzymane atomy o 60 stopni (1/6 pełnego obrotu) zgodnie z ruchem wskazówek zegara.
"Rotates the atoms held by an arm counter-clockwise by 60 degrees, or 1/6 of a complete rotation.",,"Dreht die von einem Arm gehaltenen Atome gegen den Uhrzeigersinn um 60 Grad, bzw. 1/6 einer kompletten Umdrehung.","Tourne les atomes tenus par un bras de 60 degrés dans le sens inverse des aiguilles d'une montre, ou 1/6 de sa rotation complète.",Поворачивает удерживаемые манипулятором атомы на 60 градусов (1/6 полного оборота) против часовой стрелки.,把一个机械臂持有的原子逆时针旋转60度（1/6圈）。,アームに●保持された●原子を●反時計回りに●60度、または●全体の●6分の1●回転させます。,"Gira los átomos recogidos por un brazo en sentido antihorario 60 grados, o 1/6 de una rotación completa.",팔이 잡고 있는 원자를 반시계 방향으로 60도 (1/6회전) 돌립니다.,Bir kol tarafından tutulan atomları saat yönünün tersine 60 derece veya tam rotasyonun 1/6'sı kadar döndürür.,"Повертає атоми, утримувані маніпулятором, проти годинникової стрілки на 60 градусів, тобто на 1/6 оберту.","Rotaciona os átomos segurados por um braço em 60 graus, ou 1/6 de uma rotação completa, no sentido anti-horário.","Natočí atom, držený manipulátorem, o 60° proti směru hodinových ručiček (o 1/6 kruhu).",Obraca trzymane atomy o 60 stopni (1/6 pełnego obrotu) przeciwnie do ruchu wskazówek zegara.
Salt,,Salz,Sel,Соль,盐,塩,Sal,소금,Tuz,Сіль,Sal,Sůl,Sól
"Salt matches with any of the cardinal elements, or with itself.",,Salz kann allen Hauptelementen und sich selbst zugeordnet werden.,Le sel s'associe avec n'importe lequel des quatre éléments fondamentaux ou avec soi-même.,Соль сочетается с любыми основными элементами или сама с собой.,盐与任何主要元素或与其自身匹配。,塩はすべての●基本元素●または●塩自体と●マッチできる。,"La sal se puede combinar con cualquier elemento cardinal, o con si misma.",소금은 다른 주요 원소나 소금과 조합됩니다.,"Tuz, kardinal elementlerin herhangi biriyle veya kendisiyle eşleşir.","Сіль поєднується із будь-яким головним елементом, та сама з собою.","Sal combina com qualquer um dos elementos cardinais, e consigo mesmo.","Sůl se slučuje s některým primárním elementem, nebo sama se sebou.","Sól łączy się z którymkolwiek z czerech żywiołów, a także z inną solą."
Save,,Speichern,Sauvegarder,Сохранить,保存,保存,Guardar,저장,Kaydet,Зберегти,Salvar,Uložit,Zapisz
Scroll Wheel,,Mausrad,Molette de souris,Колесико прокрутки,滚轮,スクロールホイール,Rueda del Ratón,마우스 휠,Kaydırma Tekerleği,Колесико прокрутки,Roda do Mouse,Myší kolečko,Kółko myszy
Scroll instruction tray horizontally,,Anweisungskonsole horizontal scrollen,Faire défiler la planche à instruction horizontalement,Горизонтальная прокрутка панели команд,水平滚动指令托盘,命令トレイを●水平に●スクロール,Desplazar la bandeja de instrucciones horizontalmente,명령 선반 수평 스크롤 하기,Talimat tepsisini yatay kaydır,Горизонтальна прокрутка панелі команд,Navega pelo tabuleiro de instruções horizontalmente,Horizontální lišta panelu instrukcí,Przewiń poziomo pasek instrukcji
Scroll parts trays and instruction tray vertically,,Teilekonsolen und Anweisungskonsole vertikal scrollen,Faire défiler les planches à pièces et la planche à instruction verticalement,Вертикальная прокрутка панелей частей и панели команд,垂直滚动部件托盘和指令托盘,部品トレイ、●命令トレイを●垂直に●スクロール,Desplazar la bandeja de partes y la bandeja de instrucciones verticalmente,"부품 선반, 명령 선반 수직 스크롤하기",Parça ve talimat tepsisini dikey kaydır,Вертикальна прокрутка панелей частин та команд,Navega pela bandeja de peças e pelo tabuleiro de instruções verticalmente,Vertikální lišta panelu součástek a panelu instrukcí,Przewiń pionowo pasek części lub pasek instrukcji
Seal Solvent,,Lösungsmittel für Siegel,Dissolvant,Растворитель для печати,密封溶剂,接合溶剤,Solvente de Sello,인장 제거제,Mühür Çözücü,Розчинник печаток,Solvente para Selagem,Rozpouštědlo pečeti,Rozpuszczalnik pieczęci
"Select a custom puzzle to edit its products, reagents, mechanisms, and glyphs.",,"Wähle ein individuelles Rätsel, um seine Erzeugnisse, Reagenzien, Mechanismen und Glyphen zu bearbeiten.","Sélectionnez une énigme personnalisée pour modifier ses produits, réactifs, mécanismes et glyphes.","Выберите пользовательскую головоломку, чтобы изменить продукты, реагенты, механизмы и глифы  в ней.",选择一个自定义谜题，即可编辑其产品、试剂、机制和符文。,生成物、試薬、構造と●象形文字を●編集する●カスタム●パズルを●選択しましょう。,"Selecciona un rompecabezas personalizado para editar sus productos, reactivos, mecanismos y glifos.","커스텀 퍼즐을 선택해 생성물, 반응물, 장치, 문양를 조정하기.","Ürünlerini, reaktiflerini, mekanizmalarını ve gliflerini düzenlemek için özel bir bulmaca seçin.","Виберіть власну головоломку для редагування її продуктів, реагентів, механізмів і гліфів.","Seleciona um quebra-cabeças personalizado para editar seus produtos, reagentes, mecanismos, e glifos.","Vyberte uživatelské puzzle pro editaci jeho produktů, mechanismů a glyfů.","Wybierz niestandardową zagadkę, aby edytować jej produkty, reagenty, mechanizmy oraz dostępne glify."
Select all instructions,,Alle Anweisungen auswählen,Sélectionner toutes les instructions,Выбрать все команд,选择所有指令,すべての●命令を●選択,Seleccionar todas las instrucciones,모든 명령 선택,Tüm talimatları seç,Виділити всі команди,Seleciona todas as instruções,Vybrat instrukci,Wybierz wszystkie instrukcje
Select all parts,,Alle Teile auswählen,Sélectionner toutes les pièces,Выбрать все части,选择所有部件,すべての●部品を●選択,Seleccionar todas las partes,모든 부품 선택,Tüm parçaları seç,Виділити всі частини,Seleciona todas as partes,Vybrat všechny součástky,Wybierz wszystkie części
Shift + Left Mouse,,Umschalttaste + linke Maustaste,Shift + Clic gauche,Shift + левая кнопка мыши,Shift + 鼠标左键,Shift + 左クリック,Shift + Botón Izquierdo del Ratón,Shift + 왼쪽 클릭,Üst Karakter + Sol Fare,Shift + ЛКМ,Shift + Mouse Esquerdo,Shift + levá myš,Shift + Lewy przycisk myszy
Shift + Scroll Wheel,,Umschalttaste + Mausrad,Shift + Molette de souris,Shift + колесико прокрутки,Shift + 滚轮,Shift + スクロールホイール,Shift + Rueda del Ratón,Shift + 마우스 휠,Üst Karakter + Kaydırma Tekerleği,Shift + колесико прокрутки,Shift + Roda do Mouse,Shift + myší kolečko,Shift + Prawy przycisk myszy
Show Current Area,,Aktuellen Bereich anzeigen,Afficher la zone actuelle,Показать текущую зону,显示当前区域,現在の●エリアを●表示,Mostrar Área Actual,현재 영역 표시,Mevcut Alanı Göster,Показати поточну площу,Mostrar Área Atual,Ukázat aktuální zónu,Pokaż aktualny obszar
Show Diagram,,Diagramm anzeigen,Afficher le diagramme actuel,Показать схему,显示图表,参照図を●表示,Mostrar Diagrama,도표 표시,Şemayı Göster,Показати діаграму,Mostrar Diagrama,Ukázat schéma,Pokaż diagram
Show Ghost Atoms,,Phantomatome anzeigen,Afficher les atomes fantômes,Показать «призрачные» атомы,显示空原子,ゴースト原子を●表示,Mostrar Átomos Fantasmas,유령 원자 표시,Hayalet Atomları Göster,Показати приховані атоми,Mostrar Átomos Fantasmas,Ukázat stínové atomy,Pokaż widma atomów
Show Information,,Informationen anzeigen,Afficher les informations,Показать информацию,显示信息,情報を表示,Mostrar Información,정보 표시,Bilgiyi Göster,Показати інформацію,Mostrar Informação,Ukázat informaci,Pokaż informacje
Show Top Percentile,,Oberstes Perzentil anzeigen,Afficher les meilleurs,Показать лучшие результаты,显示最高百分位数,上位パーセンタイルを●表示,Mostrar el Porcentaje Superior,상위 퍼센트 표시,En Üst Yüzdeyi Göster,Показати верхній відсоток,Mostrar Percentuais Superiores,Ukázat nejlepší výsledky,Pokaż optymalny wynik
Show or hide the parts trays,,Teilekonsolen anzeigen oder ausblenden,Afficher ou masquer les planches à pièces,Показать или скрыть панели частей,显示或隐藏部件托盘,部品トレイの●表示、●非表示,Mostrar o esconder la bandeja de partes,부품 선반 보이기/가리기,Parça tepsilerini göster veya gizle,Показати або сховати панелі частин,Mostrar ou esconder a bandeja de peças,Ukázat / skrýt panel součástek,Pokaż/ukryj pasek części
Sigmar's Garden,,Sigmars Garten,Jardin de Sigmar,Сад Сигмара,西格玛的花园,シグマーの●庭園,Jardín de Sigmar,시그마의 정원,Sigmar'ın Bahçesi,Сад Сігмара,Jardim de Sigmar,Sigmarova zahrada,Ogród Sigmara
Silver,,Silber,Argent,Серебро,银,銀,Plata,은,Gümüş,Срібло,Prata,Stříbro,Srebro
Silver Paint,,Silberfarbe,Peinture d'argent,Серебряная краска,银色油漆,銀の塗料,Pintura Plateada,은빛 페인트,Gümüş Boya,Срібна фарба,Tinta de Prata,Stříbrná barva,Srebrna farba
Solution Recorder,,Lösungsaufzeichner,Enregistreur de solution,Запись решения,解决方案记录器,ソリューションの●記録ツール,Grabador de Solución,풀이 녹화기,Çözüm Kaydedici,Запис рішення,Gravador de Solução,Záznam řešení,Nagrywarka rozwiązań
Solve this puzzle,,Löse dieses Rätsel,Résoudre cette énigme,Решить головоломку,解开此谜题,このパズルを●解決,Resuelve el rompecabezas,이 퍼즐을 풀고,Bu bulmacayı çöz,Вирішіть цю головоломку,Resolva esse quebra-cabeças,Vyřešit toto puzzle,Rozwiąż tę zagadkę
Solve this puzzle to see its histograms and leaderboards.,,"Löse dieses Rätsel, um seine Histogramme und Bestenlisten zu sehen.",Résolvez cette énigme pour voir ses histogramme et classement.,"Чтобы увидеть графики и таблицу рейтингов для этой головоломки, ее нужно решить.",解开此谜题，查看其直方图和排行榜。,このパズルを●解くと●ヒストグラムや●ランキングを●見ることが●できます。,Resuelve este rompecabezas para ver los histogramas y tabla de lideres.,이 퍼즐을 풀어야 리더보드와 히스토그램이 보입니다.,Histogramlarını ve skor tablolarını görmek için bu bulmacayı çözün.,"Розв'яжіть цю головоломку, щоб побачити її гістограми і таблиці лідерів.",Resolva esse quebra-cabeças para ver as tabelas e histogramas.,"Abyste viděli grafy a tabulky, musíte puzzle vyřešit.","Rozwiąż tę zagadkę, aby zobaczyć jej histogramy i statystyki."
"Some products repeat infinitely, and must be constructed as a single chain.",,Bestimmte Erzeugnisse wiederholen sich unbegrenzt und müssen als Einzelkette aufgebaut werden.,"Certains produits se répètent indéfiniment, et doivent être construits en une seule chaîne.","Некоторые продукты могут повторяться до бесконечности, поэтому их следует создавать в рамках одной цепочки операций.",有些产品会无限重复，并必须构成一个单链。,無限に●繰り返される●生成物もあり、単一の●チェーンとして●構築する●必要があります。,"Algunos productos se repiten infinitamente, y deben ser construidos en cadena.",몇몇 생성물은 무한히 반복되며 하나의 띠로 이어져야 합니다.,Bazı ürünler sonsuz bir şekilde tekrar eder ve tek bir zincir olarak inşa edilmelidir.,"Деякі продукти нескінченно повторюються, і мають бути створені як єдиний ланцюг.","Alguns produtos se repetem infinitamente, e devem ser construídos como uma única cadeia.",Některé produkty se opakují do nekonečna a musejí být sestaveny jako jednotlivý řetězec.,Niektóre produkty tworzą nieskończenie długi łańcuch i w taki sposób należy je konstruować.
Sound Volume,,Soundlautstärke,Volume du son,Громкость звука,音量,音量,Volumen de Sonido,효과음 크기,Ses Seviyesi,Гучність звуку,Volume dos Efeitos Sonoros,Hlasitost zvuku,Głośność dźwięku
Space,KEY NAME,Leertaste,Espace,Пробел,空格,Space,Espaciadora,Space,Boşluk,Пробіл,Espaço,Mezerník,Spacja
Special Amaro,,Besonderer Amaro,Amaro spécial,Особый ликер,特制阿玛罗酒,特別なアマロ,Amaro Especial,특별한 아마로,Özel Amaro,Особливе амаро,Licor Especial,Zvláštní likér,Specjalne amaro
Stabilized Air,,Stabilisierte Luft,Air stabilisé,Стабилизированный воздух,稳定的风元素,安定化した●空気,Aire Estabilizado,안정된 공기,Stabilize Hava,Стабілізоване повітря,Ar Estabilizado,Stabilizovaný vzduch,Stabilizowane powietrze
Stabilized Earth,,Stabilisierte Erde,Terre stabilisée,Стабилизированная земля,稳定的土元素,安定化した●土,Tierra Estabilizada,안정된 흙,Stabilize Toprak,Стабілізована земля,Terra Estabilizada,Stabilizovaná země,Stabilizowana ziemia
Stabilized Fire,,Stabilisiertes Feuer,Feu stabilisé,Стабилизированный огонь,稳定的火元素,安定化した●火,Fuego Estabilizado,안정된 불,Stabilize Ateş,Стабілізований вогонь,Fogo Estabilizado,Stabilizovaný oheň,Stabilizowany ogień
Stabilized Water,,Stabilisiertes Wasser,Eau stabilisée,Стабилизированная вода,稳定的水元素,安定化した●水,Agua Estabilizada,안정된 물,Stabilize Su,Стабілізована вода,Água Estabilizada,Stabilizovaná voda,Stabilizowana woda
Stain Remover,,Fleckenentferner,Détachant,Пятновыводитель,去污剂,染み抜き,Removedor de Manchas,얼룩 제거제,Leke Çıkarıcı,Плямовивідник,Removedor de Manchas,Odstraňovač skvrn,Usuwacz plam
Stamina Potion,,Ausdauertrank,Potion d'endurance,Зелье выносливости,持久力药水,スタミナの●薬,Poción de Aguante,스태미너의 물약,Dayanıklılık İksiri,Зілля витривалості,Poção do Vigor,Lektvar energie,Mikstura energii
"Start the transmutation engine, pausing after the first instruction.",,Starte die Transmutationsmaschine und pausiere nach der ersten Anweisung.,"Démarre le moteur de transmutation, et fait une pause après la première instruction.",Запустите механизм трансмутаций с паузой после первой команды.,启动嬗变引擎，并在第一指令后暂停。,変成機関を●起動させ、最初の●命令の●後で●一時停止●させます。,"Comenzar el motor de transmutación, pausando después de la primera instrucción.",변성 기관을 작동시킨 후 첫 명령 다음에 멈춥니다.,"İlk talimattan sonra durarak, dönüşüm motorunu çalıştır.","Запустити трансмутаційний апарат, призупинити після першої інструкції.","Inicia o mecanismo de transmutação, pausando após a primeira instrução.",Spustí transmutační stroj a zastaví ho po každé instrukci.,Uruchamia jedną instrukcję silnika transmutyjnego.
Start the transmutation engine.,,Starte die Transmutationsmaschine.,Démarre le moteur de transmutation.,Запустите механизм трансмутаций.,启动嬗变引擎。,変成機関を●起動させます。,Comenzar el motor de transmutación.,변성 기관을 작동시킵니다.,Dönüşüm motorunu çalıştır.,Запустити трансмутаційний апарат.,Inicia o mecanismo de transmutação.,Start transmutačního stroje.,Uruchamia silnik transmutacyjny.
Steam Workshop,,Steam Workshop,Steam Workshop,Мастерская Steam,Steam 创意工坊,Steam●ワークショップ,Steam Workshop,스팀 창작마당,Steam Atölyesi,Майстерня Steam,Oficina do Steam,Steam Workshop,Warsztat Steam
Step,,Schritt,Étape,Шаг,步骤,ステップ,Paso,스텝,Adımla,Крок,Passo,Krok,Krok
Stop,,Anhalten,Arrêt,Стоп,停止,停止,Detener,정지,Dur,Скасувати,Parar,Stop,Stop
Stop and reset the transmutation engine.,,Halte die Transmutationsmaschine an und setze sie zurück.,Arrête et réinitialise le moteur de transmutation.,Остановите и верните в исходное положение механизм трансмутаций.,停止并重置嬗变引擎,変成機関を●停止させ●リセットします。,Detener y reiniciar el motor de transmutación.,정지 하고 변성 기관을 초기화 합니다.,Dönüşüm motorunu durdur ve sıfırla.,Зупинити трансмутаційний апарат і повернути його в початковий стан.,Para e reinicia o mecanismo de transmutação.,Stop a reset transmutačního stroje.,Zatrzymuje i resetuje silnik transmutacyjny.
Sun-Dappled Meadow,,Sonnengeküsste Wiese,Prairie tachetée de lumière,Залитый солнцем луг,太阳斑驳的草地,木漏れ日の●牧草地,Pradera Salpicada por el Sol,태양이 묻은 초원,Gün Batımı Çayır,Сонячний луг,Campina Banhada de Sol,Slunečná louka,Słoneczna łąka
Surrender Flare,,Aufgabe-Leuchtsignal,Fusée d'abandon,Сигнал капитуляции,投降信号弹,降伏フレア,Bengala de Rendición,항복 신호탄,Teslim Fişeği,Сигнал капітуляції,Sinalizador de Rendição,Znamení kapitulace,Flara kapitulacyjna
Sword Alloy,,Schwertlegierung,Alliage d'épée,Сплав для клинка,剑合金,剣用の●合金,Aleación de Espada,도검용 합금,Kılıç Alaşımı,Сплав для меча,Liga para Espadas,Legovaný meč,Stop na miecz
Tab,KEY NAME,Tab-Taste,Tab,Tab,Tab键,Tab,Tab,Tab,Tab,Tab,Tab,Tab,Tab
Taros Colvan,,Taros Colvan,Taros Colvan,Тарос Колвен,塔洛斯·科尔文,タロス・コルヴァン,Taros Colvan,타로스 콜반,Taros Colvan,Тарос Колван,Taros Colvan,Taros Colvan,Taros Colvan
Test,,Test,Test,Тест,测试,テスト,Probar,테스트,Test,Тест,Testar,Test,Test
Textbook Page,,Lehrbuchseite,Page du manuel,Страница учебника,教科书页,教科書の●ページ,Página de Libro de Texto,교과서 페이지,Ders Kitabı Sayfası,Сторінка підручника,Página de Apostila,Stránka učebnice,Strona z podręcznika
